operatorType,operatorSubtype,operator_name
0,0,SINGLE_SENDER
1,0,BROADCAST_SENDER
2,0,FILTER
3,0,HASH_AGGREGATE
4,0,HASH_JOIN
6,0,HASH_PARTITION_SENDER
7,0,LIMIT
8,0,MERGING_RECEIVER
10,0,PROJECT
11,0,UNORDERED_RECEIVER
13,0,SCREEN
14,0,SELECTION_VECTOR_REMOVER
15,0,STREAMING_AGGREGATE
16,0,TOP_N_SORT
17,0,EXTERNAL_SORT
19,0,UNION
21,0,PARQUET_ROW_GROUP_SCAN
22,0,HIVE_SUB_SCAN
23,0,SYSTEM_TABLE_SCAN
25,0,PARQUET_WRITER
27,0,TEXT_WRITER
28,0,TEXT_SUB_SCAN
29,0,JSON_SUB_SCAN
30,0,INFO_SCHEMA_SUB_SCAN
31,1,COMPLEX_TO_JSON
34,0,WINDOW
35,0,NESTED_LOOP_JOIN
37,0,MONGO_SUB_SCAN
38,0,ELASTICSEARCH_SUB_SCAN
39,0,ELASTICSEARCH_AGGREGATOR_SUB_SCAN
40,0,FLATTEN
41,0,EXCEL_SUB_SCAN
42,0,ARROW_SUB_SCAN
43,0,ARROW_WRITER
44,0,JSON_WRITER
45,0,VALUES_READER
46,0,CONVERT_FROM_JSON
47,0,JDBC_SUB_SCAN
49,0,WRITER_COMMITTER
50,0,ROUND_ROBIN_SENDER
52,0,ICEBERG_SUB_SCAN
53,1,TABLE_FUNCTION
53,2,TABLE_FUNCTION
53,3,TABLE_FUNCTION
53,4,TABLE_FUNCTION
53,5,TABLE_FUNCTION
53,7,TABLE_FUNCTION
54,0,DELTALAKE_SUB_SCAN
55,0,DIR_LISTING_SUB_SCAN
58,0,MANIFEST_WRITER
59,0,FLIGHT_SUB_SCAN
60,0,BRIDGE_FILE_WRITER_SENDER
61,0,BRIDGE_FILE_READER_RECEIVER
62,0,BRIDGE_FILE_READER
63,0,ICEBERG_MANIFEST_WRITER
64,0,ICEBERG_METADATA_FUNCTIONS_READER
65,0,ICEBERG_SNAPSHOTS_SUB_SCAN
